season,y_bins,goal_dist_bins,total,average_per_hour,y_mid,goal_mid
2016,"(-32, -30]","(74, 76]",0,0.0,-31.0,75.0
2016,"(-32, -30]","(76, 78]",0,0.0,-31.0,77.0
2016,"(-32, -30]","(78, 80]",0,0.0,-31.0,79.0
2016,"(-32, -30]","(80, 82]",0,0.0,-31.0,81.0
2016,"(-32, -30]","(82, 84]",0,0.0,-31.0,83.0
2016,"(-32, -30]","(84, 86]",0,0.0,-31.0,85.0
2016,"(-32, -30]","(86, 88]",0,0.0,-31.0,87.0
2016,"(-32, -30]","(88, 90]",0,0.0,-31.0,89.0
2016,"(-32, -30]","(90, 92]",0,0.0,-31.0,91.0
2016,"(-30, -28]","(0, 2]",7,0.0006290438533429188,-29.0,1.0
2016,"(-30, -28]","(2, 4]",31,0.002785765636232926,-29.0,3.0
2016,"(-30, -28]","(4, 6]",27,0.002426312005751258,-29.0,5.0
2016,"(-30, -28]","(6, 8]",37,0.0033249460819554278,-29.0,7.0
2016,"(-30, -28]","(8, 10]",27,0.002426312005751258,-29.0,9.0
2016,"(-30, -28]","(10, 12]",27,0.002426312005751258,-29.0,11.0
2016,"(-30, -28]","(12, 14]",33,0.00296549245147376,-29.0,13.0
2016,"(-30, -28]","(14, 16]",29,0.002606038820992092,-29.0,15.0
2016,"(-30, -28]","(16, 18]",26,0.002336448598130841,-29.0,17.0
2016,"(-30, -28]","(18, 20]",49,0.0044033069734004315,-29.0,19.0
2016,"(-30, -28]","(20, 22]",47,0.004223580158159598,-29.0,21.0
2016,"(-30, -28]","(22, 24]",47,0.004223580158159598,-29.0,23.0
2016,"(-30, -28]","(24, 26]",41,0.0036843997124370955,-29.0,25.0
2016,"(-30, -28]","(26, 28]",47,0.004223580158159598,-29.0,27.0
2016,"(-30, -28]","(28, 30]",47,0.004223580158159598,-29.0,29.0
2016,"(-30, -28]","(30, 32]",72,0.006470165348670022,-29.0,31.0
2016,"(-30, -28]","(32, 34]",77,0.006919482386772107,-29.0,33.0
2016,"(-30, -28]","(34, 36]",60,0.005391804457225018,-29.0,35.0
2016,"(-30, -28]","(36, 38]",80,0.007189072609633357,-29.0,37.0
2016,"(-30, -28]","(38, 40]",65,0.005841121495327103,-29.0,39.0
2016,"(-30, -28]","(40, 42]",57,0.005122214234363767,-29.0,41.0
2016,"(-30, -28]","(42, 44]",72,0.006470165348670022,-29.0,43.0
2016,"(-30, -28]","(44, 46]",46,0.00413371675053918,-29.0,45.0
2016,"(-30, -28]","(46, 48]",76,0.006829618979151689,-29.0,47.0
2016,"(-30, -28]","(48, 50]",84,0.007548526240115025,-29.0,49.0
2016,"(-30, -28]","(50, 52]",91,0.008177570093457943,-29.0,51.0
2016,"(-30, -28]","(52, 54]",107,0.009615384615384616,-29.0,53.0
2016,"(-30, -28]","(54, 56]",87,0.007818116462976275,-29.0,55.0
2016,"(-30, -28]","(56, 58]",55,0.004942487419122933,-29.0,57.0
2016,"(-30, -28]","(58, 60]",22,0.001976994967649173,-29.0,59.0
2016,"(-30, -28]","(60, 62]",5,0.0004493170381020848,-29.0,61.0
2016,"(-30, -28]","(62, 64]",5,0.0004493170381020848,-29.0,63.0
2016,"(-30, -28]","(64, 66]",0,0.0,-29.0,65.0
2016,"(-30, -28]","(66, 68]",0,0.0,-29.0,67.0
2016,"(-30, -28]","(68, 70]",0,0.0,-29.0,69.0
2016,"(-30, -28]","(70, 72]",0,0.0,-29.0,71.0
2016,"(-30, -28]","(72, 74]",0,0.0,-29.0,73.0
2016,"(-30, -28]","(74, 76]",0,0.0,-29.0,75.0
2016,"(-30, -28]","(76, 78]",0,0.0,-29.0,77.0
2016,"(-30, -28]","(78, 80]",0,0.0,-29.0,79.0
2016,"(-30, -28]","(80, 82]",0,0.0,-29.0,81.0
2016,"(-30, -28]","(82, 84]",0,0.0,-29.0,83.0
2016,"(-30, -28]","(84, 86]",0,0.0,-29.0,85.0
2016,"(-30, -28]","(86, 88]",0,0.0,-29.0,87.0
2016,"(-30, -28]","(88, 90]",0,0.0,-29.0,89.0
2016,"(-30, -28]","(90, 92]",0,0.0,-29.0,91.0
2016,"(-28, -26]","(0, 2]",8,0.0007189072609633358,-27.0,1.0
2016,"(-28, -26]","(2, 4]",18,0.0016175413371675054,-27.0,3.0
2016,"(-28, -26]","(4, 6]",33,0.00296549245147376,-27.0,5.0
2016,"(-28, -26]","(6, 8]",28,0.0025161754133716753,-27.0,7.0
2016,"(-28, -26]","(8, 10]",30,0.002695902228612509,-27.0,9.0
2016,"(-28, -26]","(10, 12]",31,0.002785765636232926,-27.0,11.0
2016,"(-28, -26]","(12, 14]",42,0.0037742631200575125,-27.0,13.0
2016,"(-28, -26]","(14, 16]",36,0.003235082674335011,-27.0,15.0
2016,"(-28, -26]","(16, 18]",30,0.002695902228612509,-27.0,17.0
2016,"(-28, -26]","(18, 20]",46,0.00413371675053918,-27.0,19.0
2016,"(-28, -26]","(20, 22]",39,0.0035046728971962616,-27.0,21.0
2016,"(-28, -26]","(22, 24]",41,0.0036843997124370955,-27.0,23.0
2016,"(-28, -26]","(24, 26]",64,0.005751258087706686,-27.0,25.0
2016,"(-28, -26]","(26, 28]",64,0.005751258087706686,-27.0,27.0
2016,"(-28, -26]","(28, 30]",56,0.0050323508267433505,-27.0,29.0
2016,"(-28, -26]","(30, 32]",74,0.0066498921639108555,-27.0,31.0
2016,"(-28, -26]","(32, 34]",51,0.004583033788641265,-27.0,33.0
2016,"(-28, -26]","(34, 36]",57,0.005122214234363767,-27.0,35.0
2016,"(-28, -26]","(36, 38]",69,0.00620057512580877,-27.0,37.0
2016,"(-28, -26]","(38, 40]",69,0.00620057512580877,-27.0,39.0
2016,"(-28, -26]","(40, 42]",50,0.004493170381020848,-27.0,41.0
2016,"(-28, -26]","(42, 44]",70,0.006290438533429188,-27.0,43.0
2016,"(-28, -26]","(44, 46]",56,0.0050323508267433505,-27.0,45.0
2016,"(-28, -26]","(46, 48]",72,0.006470165348670022,-27.0,47.0
2016,"(-28, -26]","(48, 50]",89,0.00799784327821711,-27.0,49.0
2016,"(-28, -26]","(50, 52]",100,0.008986340762041696,-27.0,51.0
2016,"(-28, -26]","(52, 54]",109,0.009795111430625449,-27.0,53.0
2016,"(-28, -26]","(54, 56]",88,0.007907979870596693,-27.0,55.0
2016,"(-28, -26]","(56, 58]",57,0.005122214234363767,-27.0,57.0
2016,"(-28, -26]","(58, 60]",13,0.0011682242990654205,-27.0,59.0
2016,"(-28, -26]","(60, 62]",8,0.0007189072609633358,-27.0,61.0
2016,"(-28, -26]","(62, 64]",5,0.0004493170381020848,-27.0,63.0
2016,"(-28, -26]","(64, 66]",0,0.0,-27.0,65.0
2016,"(-28, -26]","(66, 68]",0,0.0,-27.0,67.0
2016,"(-28, -26]","(68, 70]",0,0.0,-27.0,69.0
2016,"(-28, -26]","(70, 72]",0,0.0,-27.0,71.0
2016,"(-28, -26]","(72, 74]",0,0.0,-27.0,73.0
2016,"(-28, -26]","(74, 76]",0,0.0,-27.0,75.0
2016,"(-28, -26]","(76, 78]",0,0.0,-27.0,77.0
2016,"(-28, -26]","(78, 80]",0,0.0,-27.0,79.0
2016,"(-28, -26]","(80, 82]",0,0.0,-27.0,81.0
2016,"(-28, -26]","(82, 84]",0,0.0,-27.0,83.0
2016,"(-28, -26]","(84, 86]",0,0.0,-27.0,85.0
2016,"(-28, -26]","(86, 88]",0,0.0,-27.0,87.0
2016,"(-28, -26]","(88, 90]",0,0.0,-27.0,89.0
2016,"(-28, -26]","(90, 92]",0,0.0,-27.0,91.0
2016,"(-26, -24]","(0, 2]",12,0.0010783608914450035,-25.0,1.0
2016,"(-26, -24]","(2, 4]",24,0.002156721782890007,-25.0,3.0
2016,"(-26, -24]","(4, 6]",33,0.00296549245147376,-25.0,5.0
2016,"(-26, -24]","(6, 8]",24,0.002156721782890007,-25.0,7.0
2016,"(-26, -24]","(8, 10]",34,0.003055355859094177,-25.0,9.0
2016,"(-26, -24]","(10, 12]",29,0.002606038820992092,-25.0,11.0
2016,"(-26, -24]","(12, 14]",51,0.004583033788641265,-25.0,13.0
2016,"(-26, -24]","(14, 16]",25,0.002246585190510424,-25.0,15.0
2016,"(-26, -24]","(16, 18]",42,0.0037742631200575125,-25.0,17.0
2016,"(-26, -24]","(18, 20]",38,0.0034148094895758447,-25.0,19.0
2016,"(-26, -24]","(20, 22]",46,0.00413371675053918,-25.0,21.0
2016,"(-26, -24]","(22, 24]",46,0.00413371675053918,-25.0,23.0
2016,"(-26, -24]","(24, 26]",78,0.007009345794392523,-25.0,25.0
2016,"(-26, -24]","(26, 28]",73,0.006560028756290438,-25.0,27.0
2016,"(-26, -24]","(28, 30]",64,0.005751258087706686,-25.0,29.0
2016,"(-26, -24]","(30, 32]",76,0.006829618979151689,-25.0,31.0
2016,"(-26, -24]","(32, 34]",74,0.0066498921639108555,-25.0,33.0
2016,"(-26, -24]","(34, 36]",74,0.0066498921639108555,-25.0,35.0
2016,"(-26, -24]","(36, 38]",73,0.006560028756290438,-25.0,37.0
2016,"(-26, -24]","(38, 40]",64,0.005751258087706686,-25.0,39.0
2016,"(-26, -24]","(40, 42]",68,0.006110711718188354,-25.0,41.0
2016,"(-26, -24]","(42, 44]",54,0.004852624011502516,-25.0,43.0
2016,"(-26, -24]","(44, 46]",63,0.005661394680086269,-25.0,45.0
2016,"(-26, -24]","(46, 48]",61,0.005481667864845435,-25.0,47.0
2016,"(-26, -24]","(48, 50]",92,0.00826743350107836,-25.0,49.0
2016,"(-26, -24]","(50, 52]",84,0.007548526240115025,-25.0,51.0
2016,"(-26, -24]","(52, 54]",120,0.010783608914450037,-25.0,53.0
2016,"(-26, -24]","(54, 56]",62,0.005571531272465852,-25.0,55.0
2016,"(-26, -24]","(56, 58]",50,0.004493170381020848,-25.0,57.0
2016,"(-26, -24]","(58, 60]",17,0.0015276779295470885,-25.0,59.0
2016,"(-26, -24]","(60, 62]",3,0.0002695902228612509,-25.0,61.0
2016,"(-26, -24]","(62, 64]",0,0.0,-25.0,63.0
2016,"(-26, -24]","(64, 66]",0,0.0,-25.0,65.0
2016,"(-26, -24]","(66, 68]",0,0.0,-25.0,67.0
2016,"(-26, -24]","(68, 70]",0,0.0,-25.0,69.0
2016,"(-26, -24]","(70, 72]",0,0.0,-25.0,71.0
2016,"(-26, -24]","(72, 74]",0,0.0,-25.0,73.0
2016,"(-26, -24]","(74, 76]",0,0.0,-25.0,75.0
2016,"(-26, -24]","(76, 78]",0,0.0,-25.0,77.0
2016,"(-26, -24]","(78, 80]",0,0.0,-25.0,79.0
2016,"(-26, -24]","(80, 82]",0,0.0,-25.0,81.0
2016,"(-26, -24]","(82, 84]",0,0.0,-25.0,83.0
2016,"(-26, -24]","(84, 86]",0,0.0,-25.0,85.0
2016,"(-26, -24]","(86, 88]",0,0.0,-25.0,87.0
2016,"(-26, -24]","(88, 90]",0,0.0,-25.0,89.0
